ID;NOME
4;MERCEDES-BENZ
7;HONDA
53;VOLVO
59;SUZUKI
135;YAMAHA
170;KAWASAKI
261;OUTROS
351;ECOMARINER
352;VENTURA
353;EVINRUDE
354;FIBRAFORT
355;SCHAEFER
356;CARBRASMAR
357;SEA-DOO
359;ACELLERA
360;INTERMARINE
361;MAGNA
362;AZIMUT
363;CIMITARRA
364;FERRETTI
365;BENETEAU
366;MONTE CARLO
367;LAGOON
368;FISHING
369;REAL POWER BOATS
370;MAGNUM
371;AGUZ
372;MILLENIUM
373;ALTERNATIVA
374;BAYLINER
375;AQUA
376;MOONEN
377;AQUATERRA
378;ARMADA
379;ARTHMARINE
380;AXTOR MARINE
381;AVALON
382;BAIA
383;BAJA MARINE
384;BENETTI
385;BILGIN
386;BMYD
387;BRASBOATS
388;BRAVA YACHTS
389;BRAZILIAN BOAT
390;CANTIERI DI PISA
391;CAPRICE
392;CENTURY
393;CHRIS CRAFT
394;COLUNNA
395;CORAL
396;CRANCHI
397;CROWNLINE
398;LUNA
400;MERCURY MARINE
401;MAGIS
402;TOP BOATS
403;DIAMAR
404;COBRA
405;ARBOAT
406;ALBATROZ
407;B3
408;BATE VENTO
409;BERTRAM
410;BRAMADOR
411;BRUDDEN
412;CARABELLI
413;DONZI
414;DELTA
415;LEVEFORT
416;NAUTIQUE
417;EDGEWATER
418;FORMULA
419;HARRIS FLOTEBOTE
420;MASTERCRAFT
421;DOLPHIN
422;DREAMBOATS
423;ESQUIMAR
424;EUROBOATS
425;EVOLUTION
426;EVOLVE
427;FAIRLINE
429;MIDNIGHT EXPRESS
430;STATEMENT
431;MTI
432;LUND
433;ALUMACRAFT
434;LOWE
435;FLASH
436;FLEXBOAT
437;FLORIDA
438;YANMAR
439;FLYBOAT
440;FORCE ONE
441;FOUNTAINE PAJOT
442;FOUR WINNS
443;FS YACHTS
444;FUTURA
445;GAMPER
446;GENESIS
447;GIANETTI
448;HD MARINE
449;HOLOS
450;BELASSI
451;IMPERIO
452;INACE
453;INTECH
454;JEANNEAU
455;PRESTIGE
456;PALMER JOHNSON
457;KALMAR
458;LENZI
459;LANCER
460;LAZZARA
461;TRIUMPH BOATS
462;LOTHAR
463;MAESTRALE
464;MALIBU
465;MARES
466;MARINER
467;MASTERBOAT
468;MAXIMA
469;MCP YACHTS
470;METALGLASS
471;MINASFORTE
472;MJ YACHTS
473;MOCHI CRAFT
474;MONTEREY
475;MOOMBA
476;MWM
477;NAUTIFLEX
478;PAPA E PALAZZINI
479;PERI YACHTS
480;PERSHING
481;PHANTOM
482;PHOENIX
485;POLARIS BOATS
486;PRINCESS
487;PROMAR
488;PSARI
489;RANGER
490;RECON
491;REGAL
492;RIOSTAR
493;RIVA
494;RIVAL
495;ROYAL MARINER
496;RUNNER
497;SAGA
498;SAIL MASTER
499;SAPPHIRE
500;SEA CREST
501;SEA RAY
502;SEA HAWK
503;SEGUE YACHTS
504;SESSA MARINE
505;SILVERTON
506;SKIPPER
507;STERLING
508;STRIDER
509;SUNFLASH
510;SUNLINE
511;SUNSEEKER
512;SUPERBOATS
513;SUPRA
514;TECNOBOATS
515;TECHNOMARINE
516;TEMPEST
517;TOHATSU
518;TRITON
519;VEGA
520;VICTORY YACHTS
521;WALGLASS
522;WELLCRAFT
523;YACXO
524;ZEFIR
525;ZODIAC
526;ZONDA
527;FLIPPER
528;GALEON
529;HEESEN
530;KRAUSE
531;SUNREEF
